Time,Solar_Energy,Irradiance (W/m2),Temperature,Wind,Wind Direction (degree)
2022-04-25 16:00:00,7.122000000000001,284.23001666666664,27.54768333333333,3.096075,179.75516666666667
2022-04-25 17:00:00,1.823,47.88941666666667,26.305766666666667,3.179838333333333,176.833
2022-04-25 18:00:00,0.494,13.207275,25.649916666666662,2.523613333333333,180.46233333333333
2022-04-25 19:00:00,0.0,1.4217716666666669,25.361666666666668,2.3897600000000003,176.363
2022-04-25 20:00:00,0.0,1.405215,25.27625,2.10986,181.9703333333333
2022-04-25 21:00:00,0.0,1.440125,25.147066666666667,1.916285,173.6275
2022-04-25 22:00:00,0.0,1.4566066666666666,25.037316666666666,1.8054171666666667,189.079
2022-04-25 23:00:00,0.0,1.5963183333333333,24.7983,1.8288886666666668,189.7613333333333
2022-04-26 00:00:00,0.0,1.666195,24.70595,1.6824053333333333,190.05616666666668
2022-04-26 01:00:00,0.0,1.7102966666666668,24.693416666666668,1.423637,172.86066666666665
2022-04-26 02:00:00,0.0,1.7892683333333332,24.40243333333333,1.1209455000000002,158.72215
2022-04-26 03:00:00,0.0,1.761735,24.443466666666662,1.1630461666666667,197.807
2022-04-26 04:00:00,0.0,1.7286716666666666,24.45733333333333,1.6131541666666669,182.41316666666668
2022-04-26 05:00:00,0.0,2.096103333333333,24.346,1.5766838333333333,169.39416666666665
2022-04-26 06:00:00,0.282,16.785336666666666,24.3832,2.045333333333333,173.38783333333333
2022-04-26 07:00:00,3.327,119.70658333333334,25.27613333333333,2.420435,175.77366666666666
2022-04-26 08:00:00,7.314,188.21065,26.023983333333334,2.8753366666666667,180.1893333333333
2022-04-26 09:00:00,11.006,322.58816666666667,26.926233333333336,2.64096,173.40133333333333
2022-04-26 10:00:00,18.44,387.8542166666667,27.941333333333333,2.7022275,171.94816666666665
2022-04-26 11:00:00,24.697,552.0956666666666,29.33393333333333,2.9474266666666664,173.23666666666668
2022-04-26 12:00:00,22.173,621.2473333333334,29.863916666666668,3.371698333333333,167.81333333333333
2022-04-26 13:00:00,13.103000000000002,655.0385,29.86415,3.6301833333333335,167.87150000000003
2022-04-26 14:00:00,12.437,404.748,28.67268333333333,3.4142,167.21883333333332
2022-04-26 15:00:00,7.834,280.8763333333333,27.904766666666667,3.6339,167.90316666666666
